fixture,encoding,read_visible_tokens,mutation_input_tokens,mutation_output_tokens,future_visible_rent_tokens,hidden_bytes,expected_retry_turns,effective_tokens,dollars,winner,quality_winner
single_line,exact_old_string,900,35,265,6990,0,0.055,2374,0.007124,,
single_line,apply_patch,900,69,265,6990,0,0.054,2400,0.0072,,
single_line,visible_hashline,1124,40,265,8334,0,0.03,2521,0.007566,,
single_line,hidden_handle_tuple,924,29,175,6450,7200,0.036,2084,0.006253,winner,quality_winner
single_line,verbose_json_handle,924,41,175,6450,7200,0.038,2113,0.006341,,
single_line,whole_file_write,900,1840,1800,16200,0,0.031,6428,0.019284,,
single_line,lsp_command,999999,999999,999999,11999844,0,10.0,4286481,12.859444,,
three_edits_one_file,exact_old_string,1600,123,265,11190,0,0.074,3747,0.011241,,
three_edits_one_file,apply_patch,1600,156,265,11190,0,0.067,3719,0.011159,,
three_edits_one_file,visible_hashline,2000,72,265,13590,0,0.037,4016,0.012048,,
three_edits_one_file,hidden_handle_tuple,1624,51,175,10650,10400,0.049,3338,0.010017,winner,quality_winner
three_edits_one_file,verbose_json_handle,1624,109,175,10650,10400,0.052,3422,0.010268,,
three_edits_one_file,whole_file_write,1600,2640,2600,25200,0,0.039,9697,0.029092,,
three_edits_one_file,lsp_command,999999,999999,999999,11999844,0,10.0,4286481,12.859444,,
range_replacement,exact_old_string,2400,279,265,15990,0,0.084,5269,0.015809,,
range_replacement,apply_patch,2400,388,265,15990,0,0.075,5300,0.015902,,
range_replacement,visible_hashline,3000,141,265,19590,0,0.041,5719,0.017159,,
range_replacement,hidden_handle_tuple,2424,130,175,15450,19200,0.058,4775,0.014327,winner,quality_winner
range_replacement,verbose_json_handle,2424,145,175,15450,19200,0.06,4808,0.014424,,
range_replacement,whole_file_write,2400,4840,4800,43200,0,0.044,16740,0.050222,,
range_replacement,lsp_command,999999,999999,999999,11999844,0,10.0,4286481,12.859444,,
duplicate_lines,exact_old_string,1900,100,265,12990,0,0.195,5250,0.015752,,
duplicate_lines,apply_patch,1900,134,265,12990,0,0.153,4921,0.014764,,
duplicate_lines,visible_hashline,2374,66,265,15834,0,0.077,4954,0.014863,,
duplicate_lines,hidden_handle_tuple,1924,50,175,12450,12800,0.081,4094,0.012284,winner,quality_winner
duplicate_lines,verbose_json_handle,1924,85,175,12450,12800,0.085,4164,0.012493,,
duplicate_lines,whole_file_write,1900,3240,3200,30600,0,0.089,12169,0.03651,,
duplicate_lines,lsp_command,999999,999999,999999,11999844,0,10.0,4286481,12.859444,,
full_config_rewrite,exact_old_string,1200,1201,265,8790,0,0.051,3986,0.011958,,
full_config_rewrite,apply_patch,1200,1311,265,8790,0,0.051,4096,0.012288,,
full_config_rewrite,visible_hashline,1500,615,265,10590,0,0.03,3698,0.011095,,
full_config_rewrite,hidden_handle_tuple,1224,603,175,8250,4800,0.045,3216,0.009649,,
full_config_rewrite,verbose_json_handle,1224,635,175,8250,4800,0.047,3265,0.009797,,
full_config_rewrite,whole_file_write,80,1240,160,1440,0,0.017,1771,0.005313,winner,quality_winner
full_config_rewrite,lsp_command,999999,999999,999999,11999844,0,10.0,4286481,12.859444,,
refactor_three_files,exact_old_string,4000,131,355,26130,0,0.35,10126,0.03038,,
refactor_three_files,apply_patch,4000,170,355,26130,0,0.309,9810,0.029433,,
refactor_three_files,visible_hashline,5000,78,355,32130,0,0.254,10843,0.032529,,
refactor_three_files,hidden_handle_tuple,4024,56,245,25470,30000,0.25,9034,0.027103,,
refactor_three_files,verbose_json_handle,4024,115,245,25470,30000,0.252,9110,0.027332,,
refactor_three_files,whole_file_write,4000,7540,5000,54000,0,0.271,24284,0.072852,,
refactor_three_files,lsp_command,600,47,315,5346,30000,0.057,1989,0.005969,winner,quality_winner
refactor_ten_files,exact_old_string,10000,433,670,64020,0,0.452,21414,0.064244,,
refactor_ten_files,apply_patch,10000,520,670,64020,0,0.326,20411,0.061236,,
refactor_ten_files,visible_hashline,12500,220,670,79020,0,0.263,23566,0.070701,,
refactor_ten_files,hidden_handle_tuple,10024,144,490,62940,96000,0.264,19235,0.057707,,
refactor_ten_files,verbose_json_handle,10024,385,490,62940,96000,0.267,19502,0.058508,,
refactor_ten_files,whole_file_write,10000,24040,5000,90000,0,0.36,51154,0.153462,,
refactor_ten_files,lsp_command,1200,47,630,10836,96000,0.06,3479,0.010439,winner,quality_winner
small_edits_25_files,exact_old_string,16000,1268,1345,104070,0,0.181,30585,0.091757,,
small_edits_25_files,apply_patch,16000,1545,1345,104070,0,0.089,30066,0.090201,,
small_edits_25_files,visible_hashline,20000,595,1345,128070,0,0.05,35179,0.105538,,
small_edits_25_files,hidden_handle_tuple,16024,414,1015,102090,144000,0.087,28414,0.085244,winner,quality_winner
small_edits_25_files,verbose_json_handle,16024,1013,1015,102090,144000,0.09,29039,0.087119,,
small_edits_25_files,whole_file_write,16000,36040,5000,126000,0,0.132,70781,0.212345,,
small_edits_25_files,lsp_command,999999,999999,999999,11999844,0,10.0,4286481,12.859444,,
stale_moved_block,exact_old_string,2700,363,265,17790,0,0.195,6793,0.020381,,
stale_moved_block,apply_patch,2700,473,265,17790,0,0.166,6652,0.019959,winner,quality_winner
stale_moved_block,visible_hashline,3374,199,265,21834,0,0.104,6920,0.020763,,
stale_moved_block,hidden_handle_tuple,2724,188,175,17250,22000,0.288,7303,0.02191,,
stale_moved_block,verbose_json_handle,2724,204,175,17250,22000,0.291,7345,0.022035,,
stale_moved_block,whole_file_write,2700,5540,5000,46200,0,0.102,18742,0.056227,,
stale_moved_block,lsp_command,999999,999999,999999,11999844,0,10.0,4286481,12.859444,,
lsp_rename_workspace,exact_old_string,12000,37,1030,78180,0,0.474,24985,0.074955,,
lsp_rename_workspace,apply_patch,12000,72,1030,78180,0,0.34,23861,0.071583,,
lsp_rename_workspace,visible_hashline,15000,41,1030,96180,0,0.268,28007,0.084022,,
lsp_rename_workspace,hidden_handle_tuple,12024,28,770,76620,120000,0.259,22724,0.068173,,
lsp_rename_workspace,verbose_json_handle,12024,42,770,76620,120000,0.262,22764,0.068293,,
lsp_rename_workspace,whole_file_write,12000,30040,5000,102000,0,0.369,60431,0.181296,,
lsp_rename_workspace,lsp_command,2160,47,990,18756,120000,0.062,5608,0.016827,winner,quality_winner
